========================================
QS complex  d=20  N=861  rng(1)
Started: 2026-05-10 03:05:49
========================================

--- 生成约束矩阵 ---
qsmom_complex: n=861, m=606452 (5220.39s)
convertCtoR:   n_r=1722, m_r=606452

--- ManiCSDP (complex SDP) ---
ManiCSDP is starting...
CSDP size: n = 861, m = 606452
Iter 138, obj:-49.66334482, gap:1.2e-04, pinf:6.5e-04, dinf:1.0e-04, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:370.62s
Iter 139, obj:-49.66227509, gap:9.7e-05, pinf:6.4e-04, dinf:1.0e-04, gradnorm:2.2e-02, r:8, p:14, sigma:64.000, time:373.17s
Iter 140, obj:-49.66273133, gap:1.1e-04, pinf:6.4e-04, dinf:1.0e-04, gradnorm:2.1e-02, r:8, p:14, sigma:64.000, time:375.73s
Iter 141, obj:-49.66546985, gap:1.2e-04, pinf:6.4e-04, dinf:9.9e-05, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:378.32s
Iter 142, obj:-49.66117320, gap:1.1e-04, pinf:6.4e-04, dinf:9.6e-05, gradnorm:2.0e-02, r:8, p:14, sigma:64.000, time:380.92s
Iter 143, obj:-49.66565392, gap:1.4e-04, pinf:6.4e-04, dinf:9.8e-05, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:383.50s
Iter 144, obj:-49.66262068, gap:1.1e-04, pinf:6.3e-04, dinf:9.4e-05, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:386.09s
Iter 145, obj:-49.66573847, gap:1.5e-04, pinf:6.3e-04, dinf:8.6e-05, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:388.67s
Iter 146, obj:-49.66374362, gap:1.3e-04, pinf:6.3e-04, dinf:9.0e-05, gradnorm:1.9e-02, r:8, p:14, sigma:64.000, time:391.26s
Iter 147, obj:-49.66214429, gap:1.2e-04, pinf:6.4e-04, dinf:9.1e-05, gradnorm:1.9e-02, r:8, p:14, sigma:64.000, time:393.83s
Iter 148, obj:-49.66310775, gap:1.2e-04, pinf:6.4e-04, dinf:9.0e-05, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:396.39s
Iter 149, obj:-49.66335019, gap:1.3e-04, pinf:6.3e-04, dinf:8.7e-05, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:398.97s
Iter 150, obj:-49.66567031, gap:1.5e-04, pinf:6.3e-04, dinf:8.6e-05, gradnorm:1.8e-02, r:8, p:14, sigma:64.000, time:401.54s
Iter 151, obj:-49.66232435, gap:1.2e-04, pinf:6.2e-04, dinf:8.4e-05, gradnorm:2.0e-02, r:8, p:14, sigma:64.000, time:404.12s
Iter 152, obj:-49.66296404, gap:9.9e-05, pinf:6.2e-04, dinf:8.3e-05, gradnorm:2.1e-02, r:8, p:14, sigma:64.000, time:406.75s
Iter 153, obj:-49.66341460, gap:1.4e-04, pinf:6.2e-04, dinf:8.3e-05, gradnorm:2.1e-02, r:8, p:14, sigma:64.000, time:409.32s
Iter 154, obj:-49.66661787, gap:1.6e-04, pinf:6.2e-04, dinf:7.9e-05, gradnorm:1.7e-02, r:8, p:14, sigma:64.000, time:411.90s
Iter 155, obj:-49.66608607, gap:1.6e-04, pinf:6.2e-04, dinf:7.6e-05, gradnorm:1.9e-02, r:8, p:14, sigma:64.000, time:414.49s
